Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,TimelyResponse,TimelyFixes,TimelyReplacements,Reliability,Options,Respectful,Courteous,ActiveListening,InternetService_Fiber Optic,InternetService_None,Contract_One year,Contract_Two Year,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Gender_Male,Gender_Nonbinary
4,88,17400.04,5.274699,16,1,1,1,0,0,1,1,1,1,1,1,0,1,1,61.00152,229.9931,5482.759209,4,3,4,3,4,2,4,3,1,0,0,0,1,0,0,0,0
2,64,99108.6,10.59251,17,0,0,0,0,0,1,1,0,0,0,1,1,0,0,70.95714,162.4538,6557.961131,4,4,4,2,4,4,3,2,0,0,0,1,0,1,0,1,0
1,57,47514.11,8.89730623,14,0,1,0,0,0,1,0,0,0,0,0,0,0,1,13.24581884,112.455141,1171.036365,3,4,3,3,4,4,4,3,1,0,1,0,0,0,1,1,0
4,30,20652.62,10.5114,11,2,0,0,1,1,1,1,0,1,0,1,1,1,0,5.179771,275.1198,1283.308128,3,2,3,4,3,3,4,3,1,0,0,0,0,0,1,1,0
1,63,25985.06,9.497106973,11,1,0,0,0,1,1,0,1,0,0,0,0,1,0,18.17247008,149.959755,1707.641161,3,3,3,4,4,4,3,4,1,0,0,1,0,0,1,0,0
0,81,40661.06,2.516745112,12,1,0,0,1,1,1,0,1,0,1,0,0,0,1,9.028422616,95.019486,876.3492188,4,5,4,4,3,4,5,4,0,1,1,0,0,1,0,1,0
3,41,80430.99,8.713781981,14,1,0,0,0,0,1,1,0,0,1,0,1,0,0,6.775594861,182.467607,1072.585587,4,4,2,3,3,3,3,4,1,0,0,0,0,1,0,1,0
1,45,34957.26,9.221422,14,1,0,1,0,0,1,0,0,1,0,0,0,1,1,40.46026,169.9378,3693.943211,4,6,5,4,4,4,4,4,1,0,0,0,0,0,0,1,0
5,32,22117.1,6.468919,12,3,0,1,0,1,1,0,1,0,1,0,1,1,1,42.93116,190.1737,4390.887942,3,2,3,1,5,2,4,2,0,1,1,0,0,0,1,1,0
3,33,10547.83,10.58659,12,0,0,1,0,0,1,0,0,1,0,1,0,0,1,59.22886,127.4601,5590.851555,3,4,5,3,5,3,4,2,0,0,0,0,0,1,0,1,0
1,34,11250.31,10.42511,12,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1.393262,240.1149,722.2139832,4,4,4,4,3,3,4,3,1,0,1,0,0,0,0,0,0
0,56,46257.12,8.539641939,12,1,0,0,1,0,0,0,1,1,1,0,1,0,1,3.857300987,154.975543,1202.670117,2,1,2,4,3,3,2,4,0,0,0,0,0,0,0,1,0
7,54,31168.17,9.976411,14,0,0,0,0,0,0,1,1,0,1,1,1,1,0,10.06351,267.6647,1716.442787,3,3,3,4,3,3,3,6,1,0,0,1,1,0,0,0,0
0,24,33371.16,13.89541,8,1,0,0,0,0,1,1,1,0,0,1,1,1,0,5.738405,255.1417,1159.773784,2,3,4,2,4,2,1,2,1,0,1,0,0,0,0,0,0
1,26,20770.05,8.180859,12,0,0,1,1,0,1,0,0,0,1,0,1,0,0,15.49592,129.9621,2116.26369,4,4,4,3,4,3,4,4,0,0,0,0,0,0,0,1,0
4,24,29303.95,3.929938,14,2,0,0,0,0,1,1,1,1,0,0,1,0,1,5.648594,174.9581,1564.304827,3,2,2,3,5,2,1,3,0,0,0,1,0,0,0,1,0
6,64,19398.68,9.060299,13,2,1,0,1,1,1,1,0,0,0,0,0,1,1,50.79108,147.4713,4610.018066,4,3,5,3,5,6,4,3,0,1,0,0,0,1,0,1,0
1,82,16776.51,10.40646,12,0,0,0,0,1,1,0,0,0,0,1,1,1,1,70.86194,187.6422,6236.37892,4,4,4,2,4,3,2,5,0,1,0,0,0,1,0,1,0
0,80,12363.22,7.581507,12,2,0,0,0,0,1,1,1,1,0,0,1,1,0,15.61752,245.1283,2335.858768,3,5,4,2,6,4,3,2,0,0,0,1,1,0,0,1,0
0,88,46348.16,9.153981,11,2,0,0,1,1,1,1,1,1,0,0,1,1,0,66.96136,245.1283,6469.578976,3,4,4,3,2,4,5,3,0,0,0,0,1,0,0,0,0
0,67,43750.86,9.685299,12,3,1,1,0,0,1,0,1,0,0,1,1,0,1,52.36016,152.466,4505.46376,3,5,4,3,4,4,4,5,1,0,0,0,0,0,1,0,0
2,81,68426.04,9.128286,12,2,0,0,0,0,1,1,1,1,1,0,1,1,1,16.55879,257.6513,2509.367174,5,4,5,2,5,5,4,4,0,0,1,0,0,1,0,0,0
3,50,70321.71,12.99114,10,0,1,0,1,0,1,0,1,1,1,1,1,0,0,4.617824,187.4847,967.8404944,3,4,4,2,3,2,4,3,1,0,0,0,0,0,1,1,0
0,87,48847.09,17.14416,8,0,3,0,0,0,1,1,1,0,1,0,0,0,1,47.87116,140.0013,4524.812836,3,3,1,3,5,4,4,2,0,0,1,0,0,0,1,1,0
1,25,8461.71,15.21772,7,2,0,0,0,1,1,0,0,1,1,1,0,0,1,6.617173,159.983,916.275075,3,3,3,3,3,3,4,3,1,0,0,1,0,1,0,1,0
2,72,69163.69,4.150543,16,0,0,0,0,1,1,0,1,1,0,0,0,1,0,64.91322,172.4555,5715.030445,5,5,4,3,4,3,3,3,1,0,0,0,1,0,0,1,0
0,22,58126.33,16.58995671,17,1,0,0,0,0,1,1,0,0,0,0,1,1,1,11.38490458,240.114868,1549.466596,3,3,4,5,4,3,3,1,1,0,0,0,1,0,0,0,0
0,22,33543.36,11.08657399,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4.709035899,144.960655,545.1832765,3,4,3,4,5,5,4,4,1,0,0,1,0,0,1,0,0
2,86,99342.82,13.64304,8,2,0,0,1,1,1,1,0,1,0,1,1,0,1,63.1308,204.9496,5477.999845,5,4,3,5,2,3,4,4,1,0,0,0,0,1,0,0,0
4,43,35706.95,14.26456,11,1,1,0,1,0,1,0,0,0,0,1,0,1,1,10.08697,139.9512,1627.959422,2,3,3,4,3,5,4,4,0,0,0,1,0,0,1,1,0
1,24,56243.26,9.983208,16,2,0,0,0,1,1,1,0,0,0,0,1,1,0,3.600682,207.6386,935.8715835,2,2,2,2,5,1,2,2,0,1,1,0,0,1,0,0,0
0,51,55977.42,5.357361,14,2,0,0,0,0,1,1,0,1,1,1,0,1,1,55.64232,194.9992,4966.605582,5,5,5,2,5,3,4,3,0,1,0,1,0,0,0,0,0
0,36,42670.92,11.92901,12,2,0,0,0,0,1,0,1,0,1,0,0,1,0,56.56535,130.0064,5078.641529,4,4,5,3,4,4,3,2,0,1,0,0,1,0,0,1,0
0,76,23274.77,7.933279,10,0,1,1,0,0,1,1,1,0,0,1,0,0,1,55.16171,159.9875,4581.646496,4,3,5,5,1,3,4,3,1,0,0,0,1,0,0,0,0
0,73,112181.6,10.63665,10,0,1,0,1,0,1,1,0,1,0,1,1,1,1,70.69408,242.6435,6340.235212,3,3,4,4,3,4,3,4,0,1,0,1,0,1,0,0,0
0,19,32097.17,13.62135046,14,1,1,0,1,0,1,1,0,1,0,0,0,1,1,3.892407013,202.443347,741.7766988,3,3,3,2,3,1,3,2,1,0,0,0,0,0,0,0,0
2,80,91629.36,6.008386,13,1,0,0,1,1,1,0,1,1,1,0,0,1,1,57.0815,164.9785,5545.726878,3,3,3,4,3,3,4,4,0,0,1,0,0,0,0,1,0
0,51,42176.36,8.556186,7,0,1,0,1,1,1,1,0,0,0,1,0,1,1,63.86048,192.4567,5460.847751,4,3,4,4,2,3,3,4,1,0,1,0,0,0,1,0,0
2,18,16457.91,9.837532,13,1,0,1,0,1,1,1,0,0,1,0,0,1,1,58.3075,159.9942,5338.721765,4,3,5,3,4,4,4,4,0,1,0,0,0,0,1,1,0
0,47,42429.53,11.43603,12,2,0,0,1,0,1,0,1,1,1,0,1,1,0,61.57078,225.1457,6175.505483,3,3,4,3,4,4,2,3,0,0,1,0,0,0,0,0,0
4,85,20302.73,13.72841,9,0,0,0,0,0,1,0,1,1,0,0,0,1,1,47.22872,172.4555,4284.947558,4,4,4,4,3,3,3,2,1,0,0,0,0,0,0,1,0
3,69,15885.02,7.054788,6,2,0,0,1,0,0,1,1,0,1,0,1,1,1,57.92283,235.1555,5921.839604,5,4,4,2,4,5,4,4,0,0,0,0,1,0,0,1,0
0,37,17844.86,10.75093,15,1,1,0,0,0,1,1,0,0,0,0,1,0,0,65.21612,149.9447,6110.185041,4,4,4,3,3,4,4,5,0,0,0,0,1,0,0,1,0
1,87,20051.84,9.117174,12,1,0,0,0,1,1,0,0,0,1,1,1,1,0,53.13174,212.6415,5218.798279,3,3,3,5,3,4,4,3,0,0,0,1,0,1,0,0,0
0,56,61901.7,8.064807,15,0,0,0,1,0,1,1,0,0,1,1,1,0,0,7.434237932,194.976769,989.3430051,5,4,5,5,3,4,4,4,1,0,0,0,0,1,0,1,0
1,84,25807.14,8.832305481,16,2,0,0,1,0,1,0,0,0,1,0,0,0,1,3.998433243,124.97808,327.6622533,5,5,5,5,3,4,4,6,1,0,0,1,0,0,1,0,0
