Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,TimelyResponse,TimelyFixes,TimelyReplacements,Reliability,Options,Respectful,Courteous,ActiveListening,InternetService_Fiber Optic,InternetService_None,Contract_One year,Contract_Two Year,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Gender_Male,Gender_Nonbinary
4,30,50577.25,10.31021,17,0,1,0,1,0,0,1,0,0,1,0,0,0,1,50.09295,137.4836,4941.678785,3,3,3,4,2,3,5,5,0,0,0,0,0,1,0,1,0
3,65,62616.43,12.75213898,8,1,0,0,1,1,1,1,0,0,0,0,1,0,0,4.279464865,137.468388,704.224884,3,3,4,1,5,2,2,3,0,1,0,0,0,0,1,1,0
0,83,52962.98,10.77601,10,2,1,0,0,0,0,0,0,1,0,0,0,0,0,9.147346,102.4746,813.1772502,2,2,2,3,3,3,3,3,0,1,1,0,0,1,0,1,0
0,61,35388.48,8.587338,10,2,1,1,1,0,1,1,1,0,1,1,0,0,0,3.172425,172.5104,456.0822503,6,5,6,4,3,6,5,5,1,0,0,1,0,1,0,0,0
1,32,58887.16,16.42306,8,0,0,1,1,0,1,1,1,1,0,0,1,1,1,2.415421,265.1283,981.7181093,3,3,3,3,4,3,3,3,1,0,0,0,0,1,0,0,0
6,31,28436.06,6.622338,11,0,0,0,0,1,1,0,0,1,0,0,1,0,1,70.49565,139.9349,6722.143611,3,3,4,4,3,5,3,3,0,0,0,0,0,0,0,0,0
0,62,2772.21,0.3550483,10,2,0,1,0,0,1,0,0,0,1,0,1,1,1,7.457111,220.1323,1109.681229,3,4,2,5,3,6,5,4,1,0,1,0,0,0,0,0,0
0,69,47635.23,12.58527236,10,1,1,0,1,1,1,0,1,1,1,1,0,0,1,8.721771003,142.500692,1402.374111,5,5,4,4,5,4,4,5,0,0,0,0,0,0,0,1,0
0,54,58015.98,13.98326,17,2,1,0,1,0,1,0,0,0,0,1,0,1,1,64.11078,139.9512,5813.064092,4,3,3,1,5,3,3,3,0,0,1,0,1,0,0,0,0
4,75,52982.0,11.36732,13,0,0,0,1,0,1,1,0,0,0,0,0,0,1,68.22903,144.9607,5699.245355,3,3,3,4,3,2,2,2,1,0,1,0,0,1,0,0,0
3,71,81902.07,9.610898,5,2,0,1,1,0,1,1,0,1,0,0,0,1,1,8.442986,182.4433,1450.000546,4,5,4,1,5,4,3,4,0,0,0,1,0,0,1,0,0
1,61,28191.63,10.53761,9,1,0,0,0,1,1,1,1,0,1,0,1,1,1,42.6954,235.1555,4638.796434,1,2,2,5,3,3,1,1,0,0,0,0,0,1,0,1,0
1,82,47169.83,10.33803214,6,1,0,1,0,0,1,0,0,1,1,0,1,1,1,3.700907475,222.628057,1274.602374,2,3,2,2,5,3,4,2,0,0,0,1,0,1,0,0,0
0,42,8651.06,4.132345,12,2,1,0,0,0,0,0,1,0,0,1,0,0,1,64.22853,107.482,5777.579326,4,5,3,2,4,2,2,3,0,0,1,0,0,1,0,0,0
2,74,95188.95,1.144796,12,1,1,0,1,0,1,0,0,1,1,1,0,1,0,69.71148,174.9699,6447.106744,2,3,3,4,5,5,4,4,0,0,1,0,1,0,0,0,0
7,56,6225.4,14.13784,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,15.14561,104.9629,1628.215009,4,4,4,1,5,3,4,3,0,1,0,1,1,0,0,0,0
1,29,40412.56,8.671001,14,1,0,0,0,1,1,1,1,1,0,0,1,1,1,67.15929,245.1283,6710.02165,3,3,3,2,4,3,4,2,0,0,1,0,0,0,1,0,0
1,82,36598.52,10.76274,12,1,1,0,1,0,1,1,1,0,1,1,1,0,1,5.150963,165.0182,822.9997439,2,3,3,4,2,2,5,2,0,1,0,0,0,0,1,1,0
3,40,13585.86,11.34243,8,0,1,0,1,0,1,1,0,0,0,0,1,1,0,47.01192,240.1149,4549.059635,2,3,3,3,4,3,3,3,1,0,0,0,0,0,1,1,0
1,89,34434.44,10.47958917,11,0,0,0,1,0,1,1,0,0,0,0,0,0,0,14.69261964,124.960655,1587.826878,3,3,3,6,3,3,3,4,0,0,0,0,0,0,0,0,0
1,32,14842.19,10.78213,12,2,0,0,0,1,1,0,1,1,0,1,1,1,0,62.23915,212.6557,5815.917509,4,5,4,5,4,3,4,4,0,1,0,0,0,1,0,0,0
2,44,24142.89,5.417969,9,0,0,1,0,0,1,1,0,0,1,1,1,0,1,55.56204,194.9768,5033.743938,3,3,2,3,4,2,1,4,1,0,0,0,0,0,1,1,0
0,51,44034.11,5.574893,9,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2.830635,240.1149,753.4677251,2,3,4,5,2,4,3,4,1,0,0,0,0,1,0,0,0
0,72,39382.66,11.89241,19,2,0,0,1,1,1,1,0,0,0,0,1,1,0,10.96384,240.1149,1398.087425,4,4,3,4,3,4,5,5,1,0,0,1,0,1,0,1,0
1,27,22686.88,12.40041,7,1,0,0,0,1,0,1,1,1,0,1,0,1,1,59.42279,217.4702,5375.898345,5,4,5,5,3,3,4,3,1,0,0,0,1,0,0,0,0
0,84,7415.62,9.449248,9,3,0,0,0,0,1,0,0,0,1,0,0,0,0,64.27877,124.9781,5236.118143,6,5,5,2,5,3,4,5,1,0,0,0,0,0,1,0,0
1,81,33013.26,5.663218,16,0,1,0,0,0,1,0,1,0,0,1,1,0,0,15.39326,132.466,1921.908003,4,4,4,4,4,4,4,4,0,0,1,0,1,0,0,1,0
5,21,23707.83,9.62737,9,3,0,0,1,0,1,0,1,1,1,0,1,1,1,7.151009,245.1457,1589.194648,5,4,4,3,4,5,4,4,1,0,0,1,1,0,0,1,0
1,43,21569.82,7.599065,14,0,0,0,0,1,1,0,0,0,0,1,0,0,0,44.57297,92.48802,3788.13967,5,4,3,6,3,4,5,2,0,1,0,0,1,0,0,1,0
1,55,35731.92,1.923689,12,1,1,0,1,1,1,1,0,0,0,1,1,1,1,60.11026,220.1478,5468.830044,4,4,4,5,3,4,4,4,0,1,0,1,1,0,0,0,0
3,77,52290.12,9.799426,13,0,1,0,1,0,1,1,1,0,0,0,1,0,0,69.48178,172.4624,6035.567594,5,4,5,3,4,2,4,5,1,0,0,0,1,0,0,0,0
4,40,14471.8,11.21693,10,0,1,0,1,0,1,1,0,1,1,0,1,0,1,4.461349,172.4871,1011.014705,3,3,3,4,4,4,4,3,0,1,0,1,0,0,1,1,0
0,50,36068.74,5.547142,9,1,0,0,1,0,1,0,0,1,0,0,1,0,1,61.85144,139.9349,5813.907009,3,3,4,4,2,2,3,3,0,0,0,1,0,0,1,1,0
3,61,18708.42,9.543086,15,1,0,0,0,0,1,1,0,1,0,1,1,0,1,8.394454,184.9496,1566.320356,4,5,4,3,3,3,4,2,0,0,0,1,0,0,1,1,0
4,24,11638.79,10.41978703,13,0,0,1,1,0,1,0,0,0,0,0,0,0,0,13.82541752,92.455141,1750.284767,4,4,3,5,2,4,5,5,0,0,0,1,0,0,0,0,0
10,33,6421.76,4.299047,10,1,0,0,1,0,1,0,1,0,1,0,0,1,1,65.01825,162.4827,6088.936104,3,2,3,2,5,3,1,3,1,0,1,0,0,1,0,1,0
1,59,79543.27,10.68081,14,0,0,0,1,1,1,1,1,0,1,1,0,0,0,68.13863,172.5104,5898.900513,6,5,5,3,5,5,5,4,1,0,0,1,0,1,0,1,0
0,46,13360.17,14.75288,12,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1.602966,137.4836,792.9175185,3,4,4,4,4,4,3,4,0,0,0,1,0,0,0,1,0
2,78,9901.54,10.1399,12,0,1,1,1,0,1,1,1,0,0,0,1,0,1,69.19621,172.4624,5978.105413,4,4,4,3,5,4,3,2,1,0,0,0,1,0,0,0,0
0,25,25391.03,12.75451,11,1,0,0,0,1,1,0,0,1,0,1,1,0,1,54.91727,139.9678,4871.477155,3,4,4,3,4,2,5,3,0,1,1,0,0,1,0,0,0
1,56,31670.94,9.311366,13,2,1,0,1,0,1,0,0,0,0,0,0,1,1,61.79462,147.4421,5311.978852,4,4,3,3,4,4,3,2,1,0,0,1,0,1,0,1,0
1,66,72870.66,13.83085,9,3,1,1,0,0,1,0,0,1,1,1,0,1,1,69.7211,174.9699,6525.625338,4,4,4,3,3,3,4,4,0,0,0,0,0,1,0,1,0
2,32,10843.0,9.869142,14,1,0,0,0,0,1,1,1,0,1,1,0,1,0,63.71587,187.4974,6228.991967,3,4,4,2,5,3,3,3,0,0,0,0,0,0,0,1,0
2,24,16297.64,7.33468,7,2,0,0,0,0,1,1,0,1,0,0,0,0,0,26.90099,167.4564,2594.832192,3,3,3,5,2,4,4,4,1,0,0,0,1,0,0,1,0
1,86,18543.4,12.86128,13,0,0,0,1,0,1,0,1,1,0,0,0,0,0,36.44011,137.4686,3145.639435,3,4,4,2,4,4,4,2,1,0,0,0,0,1,0,1,0
2,52,16465.53,12.74004,7,1,0,0,1,0,1,0,0,0,0,1,1,0,0,64.04466,129.9483,5958.960225,3,3,3,4,2,2,4,4,0,0,1,0,0,0,1,1,0
1,56,13031.07,14.67012,15,1,1,0,1,0,1,0,1,1,1,0,1,0,1,56.37162,174.9755,5075.816829,3,2,3,4,5,3,3,4,1,0,0,0,0,1,0,0,0
1,34,27450.8,9.403453,13,2,0,0,1,0,1,0,1,1,1,0,1,1,0,8.681614,245.1457,1501.794265,4,4,3,2,5,2,2,3,1,0,1,0,1,0,0,0,0
1,87,46714.82,10.64177468,9,1,2,0,1,1,1,0,1,1,0,0,0,0,1,5.78844751,117.468591,962.0380085,2,3,1,3,5,2,3,3,0,0,0,1,0,1,0,0,0
0,23,68335.57,9.589426,9,1,0,0,0,0,1,0,0,1,0,0,0,0,1,26.15019,134.9509,2320.785912,3,3,3,3,4,4,4,3,1,0,0,1,0,1,0,0,0
2,29,111779.6,7.214022,9,0,2,0,0,1,1,0,0,0,0,1,0,1,1,6.815025,139.9512,1344.195225,4,4,4,4,2,3,5,5,0,0,0,0,0,0,1,1,0
1,61,26989.82,14.25237,10,1,0,0,0,0,1,0,1,1,0,0,1,0,1,6.671684,129.9763,862.9115483,4,4,4,4,5,3,3,2,0,1,1,0,0,0,0,0,1
0,51,40202.64,9.687823,12,0,2,0,1,0,1,1,0,0,0,0,0,1,1,46.50319,147.4713,4034.305669,3,4,2,4,4,3,3,3,0,1,0,0,1,0,0,0,0
4,53,12741.44,8.256443,14,0,0,0,1,0,1,0,1,1,0,1,0,0,0,65.89807,149.9778,5764.23317,1,2,2,4,4,3,3,2,1,0,0,0,0,0,1,1,0
0,51,42002.93,10.20539198,15,2,0,0,0,0,0,1,0,0,1,0,0,1,0,9.323157168,172.470522,1486.494353,3,3,3,3,2,3,3,5,0,0,0,0,0,1,0,0,0
2,82,35786.6,7.857338,15,1,1,0,0,0,1,0,1,0,0,1,0,1,1,42.73326,142.4689,4188.693579,3,3,4,4,4,3,3,4,0,0,0,0,1,0,0,1,0
3,82,42113.14,13.50203,13,2,2,1,1,0,1,0,0,0,1,1,0,0,1,66.65664,105.011,5616.475997,4,3,3,3,3,5,3,3,0,1,0,1,0,1,0,1,0
3,81,8507.14,8.089726776,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3.892424053,124.97808,390.381346,1,1,3,5,2,4,5,2,1,0,0,1,1,0,0,0,0
3,69,79594.91,9.604892,16,1,0,0,0,0,1,0,0,0,0,1,1,0,1,47.43916,129.9483,4526.335532,4,3,4,5,4,3,2,5,0,0,0,0,0,1,0,0,0
1,52,50181.69,7.432898,11,1,1,0,1,0,1,0,0,1,0,0,0,1,0,54.60066,137.4616,4829.62672,2,3,3,3,4,1,3,3,0,1,0,0,0,0,0,1,0
2,69,100626.29,13.90587666,8,1,0,0,0,1,1,0,0,0,1,0,1,1,0,7.748370205,187.656013,1219.21915,4,4,5,3,4,3,2,1,0,1,0,1,0,1,0,1,0
2,29,9514.35,6.977990294,12,0,0,0,0,0,1,0,0,0,0,1,0,1,0,4.882004458,127.474951,772.3133729,5,4,4,1,5,3,3,3,0,1,0,0,0,0,0,1,0
5,26,67620.64,9.925225,14,2,0,0,1,0,1,0,0,0,0,1,0,0,1,9.712168,92.48802,1028.310241,2,3,2,5,3,3,3,1,0,1,1,0,0,1,0,0,0
5,27,13262.8,9.694498267,17,1,0,0,1,0,1,0,0,1,0,0,0,1,1,15.98515564,169.937833,1870.659833,4,4,4,4,2,3,4,5,1,0,0,0,1,0,0,1,0
2,89,54859.16,10.1755,12,1,0,0,1,0,0,1,0,1,0,0,1,1,1,44.21572,262.6106,4222.497317,2,3,3,3,4,4,2,3,1,0,1,0,0,1,0,1,0
9,43,26157.03,13.83721,19,2,1,0,0,0,1,1,0,1,1,0,0,0,1,57.33546,159.9794,5658.119795,6,5,6,3,5,5,5,6,0,0,0,0,1,0,0,0,0
2,18,54288.64,13.25958,15,0,0,0,0,0,1,1,0,0,0,1,1,1,0,2.504861,252.624,900.8621208,3,3,3,4,4,2,2,2,1,0,0,0,0,1,0,0,0
0,19,66370.29,5.10323,14,2,1,1,1,0,1,0,1,1,0,1,1,0,1,71.82846,174.9618,6399.072403,3,2,4,4,2,3,5,3,1,0,0,0,0,0,1,1,0
1,62,13891.84,13.87881,13,1,1,0,1,0,1,1,0,0,0,1,0,0,1,42.12085,157.4698,3514.589222,3,3,5,4,3,3,4,3,1,0,0,0,0,0,1,0,0
